Student_ID,Interest,Primary_Skill,Coding_Score,Math_Score,Communication_Score,Projects_Count,Certifications_Count,GitHub_Score,Personality_Type,Career
1,Software Development,Python,70,59,69,8,0,53,Creative,Software Engineer
2,Web Development,Linux,69,95,72,4,3,79,Creative,Frontend Developer
3,Cloud Computing,Java,61,98,98,10,3,85,Creative,Cloud Engineer
4,Software Development,Networking,68,66,86,4,5,53,Creative,Software Engineer
5,Cloud Computing,Networking,96,52,80,9,2,88,Creative,Cloud Engineer
6,AI,Linux,91,74,72,4,2,73,Technical,Software Engineer
7,Cloud Computing,Linux,55,99,92,4,3,94,Creative,Cloud Engineer
8,Web Development,HTML/CSS,50,53,58,0,4,56,Technical,Backend Developer
9,Software Development,Python,58,89,55,5,1,87,Analytical,Software Engineer
10,Cybersecurity,Java,72,91,74,0,5,79,Creative,Ethical Hacker
11,Cybersecurity,Networking,92,63,62,5,0,65,Technical,Security Analyst
12,Software Development,SQL,77,76,91,2,0,83,Technical,Software Engineer
13,Cloud Computing,Java,76,76,94,7,3,76,Creative,DevOps Engineer
14,AI,Linux,75,53,72,8,2,99,Technical,Software Engineer
15,Cloud Computing,Java,87,86,69,5,4,48,Technical,Cloud Engineer
16,Web Development,Linux,89,80,99,1,1,100,Technical,Frontend Developer
17,Data Science,Networking,99,78,98,7,2,51,Technical,Data Scientist
18,Data Science,HTML/CSS,73,100,94,0,4,98,Creative,Data Scientist
19,Cloud Computing,Java,70,92,50,4,0,70,Analytical,Cloud Engineer
20,Web Development,Linux,97,82,88,3,1,81,Technical,Frontend Developer
21,Cloud Computing,Java,59,94,73,9,2,46,Technical,DevOps Engineer
22,Cloud Computing,SQL,89,79,50,0,3,87,Creative,Cloud Engineer
23,AI,SQL,56,63,81,7,0,84,Creative,Software Engineer
24,Web Development,HTML/CSS,61,66,65,10,0,78,Technical,Backend Developer
25,Web Development,HTML/CSS,85,69,98,2,2,73,Technical,Frontend Developer
26,Web Development,Java,59,65,73,6,4,97,Technical,Frontend Developer
27,Data Science,Networking,61,64,66,10,1,90,Creative,Data Scientist
28,AI,Python,62,69,98,8,2,99,Technical,Data Scientist
29,Data Science,Java,65,67,68,3,4,100,Analytical,Data Scientist
30,Web Development,Linux,96,69,100,1,3,47,Technical,Frontend Developer
31,Web Development,Networking,63,52,73,1,4,59,Technical,Backend Developer
32,Web Development,Networking,53,59,75,5,5,50,Creative,Backend Developer
33,Web Development,Networking,70,55,96,0,1,41,Analytical,Frontend Developer
34,Data Science,Java,52,73,70,10,2,63,Technical,Data Analyst
35,Cybersecurity,Networking,70,57,73,10,2,69,Analytical,Ethical Hacker
36,AI,Networking,71,88,99,9,1,64,Analytical,Software Engineer
37,Cybersecurity,Java,100,58,51,6,5,77,Creative,Security Analyst
38,Cloud Computing,Python,95,86,97,10,4,91,Analytical,DevOps Engineer
39,Data Science,Networking,86,100,73,1,1,82,Analytical,Data Scientist
40,Cybersecurity,Java,82,94,79,2,5,93,Technical,Security Analyst
41,Cybersecurity,Linux,87,91,54,1,5,51,Analytical,Security Analyst
42,Data Science,HTML/CSS,68,68,66,1,2,55,Creative,Data Scientist
43,Software Development,Python,97,62,59,9,3,98,Technical,Software Engineer
44,Cloud Computing,Networking,54,76,92,9,3,95,Creative,Cloud Engineer
45,Data Science,Linux,66,90,86,7,1,88,Technical,Data Analyst
46,AI,Java,83,76,98,7,3,70,Analytical,Software Engineer
47,Cybersecurity,Java,73,68,84,1,2,65,Analytical,Security Analyst
48,AI,SQL,95,96,50,6,2,57,Creative,Software Engineer
49,Cloud Computing,HTML/CSS,98,66,63,6,5,84,Analytical,Cloud Engineer
50,Web Development,SQL,66,59,89,1,0,62,Creative,Frontend Developer
51,Cloud Computing,SQL,68,82,78,3,2,57,Technical,Cloud Engineer
52,AI,Linux,66,79,57,4,5,99,Analytical,Software Engineer
53,Data Science,Networking,88,83,77,1,2,50,Technical,Data Analyst
54,AI,Networking,66,56,53,10,2,57,Analytical,Software Engineer
55,Web Development,Java,59,89,58,10,3,40,Technical,Frontend Developer
56,AI,Linux,58,69,63,7,5,40,Creative,Software Engineer
57,Cybersecurity,Linux,70,88,79,6,4,71,Creative,Security Analyst
58,Software Development,Python,50,57,87,6,5,63,Analytical,Software Engineer
59,AI,Java,63,77,59,0,5,63,Creative,Software Engineer
60,Cybersecurity,Linux,84,92,99,2,1,41,Technical,Security Analyst
61,Web Development,Networking,54,73,75,10,5,53,Creative,Frontend Developer
62,AI,Linux,68,73,75,1,1,80,Technical,Software Engineer
63,Software Development,HTML/CSS,96,94,70,3,3,87,Technical,Software Engineer
64,Data Science,Networking,96,93,94,10,5,46,Technical,Data Scientist
65,Cloud Computing,Python,83,77,64,6,4,42,Analytical,Cloud Engineer
66,Cloud Computing,Java,94,86,96,0,5,59,Technical,DevOps Engineer
67,Cloud Computing,Python,85,83,76,4,2,52,Creative,Cloud Engineer
68,Cybersecurity,Java,68,97,82,10,5,81,Creative,Security Analyst
69,Data Science,Networking,50,82,86,10,0,81,Creative,Data Scientist
70,Cloud Computing,Python,53,78,50,10,1,55,Analytical,Cloud Engineer
71,Software Development,Python,52,57,92,4,2,63,Creative,Software Engineer
72,Data Science,Linux,92,93,70,5,0,43,Creative,Data Scientist
73,AI,Linux,53,94,71,8,4,54,Analytical,Software Engineer
